width,model,seed,subtype,cells,patients,rna_correct,paired_correct,rescued,harmed
5000,sgd,20260914,CD8 + CTL-3,3244,27,882,1225,623,280
5000,sgd,20260914,CD8 Tem-1,26714,40,13233,13123,2835,2945
5000,sgd,20260914,CD8 Tem-2,10548,40,3893,3740,715,868
5000,sgd,20260914,Cycling T,3667,40,2560,2588,223,195
5000,sgd,20260914,Erythrocyte,65,6,8,8,0,0
5000,sgd,20260914,GCB,3283,31,1552,1667,392,277
5000,sgd,20260914,Memory B-1,23722,40,17468,18101,2277,1644
5000,sgd,20260914,Memory B-2,2130,33,1077,1215,295,157
5000,sgd,20260914,Naive T,17960,40,12141,10426,1389,3104
5000,sgd,20260914,Plasma,2173,40,2106,2078,14,42
5000,sgd,20260914,Tcm,2121,36,209,317,164,56
5000,sgd,20260914,cDC2,7376,40,6687,6672,208,223
5000,sgd,20260914,pDC,2615,40,2378,2370,46,54
5000,sgd,20260914,platelet,1574,38,1490,1521,47,16
5000,mlp,20260912,Atypical Memory B,781,34,450,387,36,99
5000,mlp,20260912,CD14 Monocyte-1,29871,40,24864,25960,2164,1068
5000,mlp,20260912,CD14 Monocyte-2,3931,40,2457,1925,389,921
5000,mlp,20260912,CD14 Monocyte-3,2977,32,1788,1581,219,426
5000,mlp,20260912,CD16 Monocyte-1,14678,40,12720,12729,708,699
5000,mlp,20260912,CD16 Monocyte-2,5142,40,3348,3406,393,335
5000,mlp,20260912,CD16 NK,58507,40,40857,43122,5977,3712
5000,mlp,20260912,CD4 + Tcm-1,70653,40,48333,50322,7951,5962
5000,mlp,20260912,CD4 + Tcm-2,16861,39,11506,10804,973,1675
5000,mlp,20260912,CD4 Monocyte-4,1405,35,893,860,81,114
5000,mlp,20260912,CD56 NK,38442,40,29255,30198,2603,1660
5000,mlp,20260912,CD8 + CTL-1,7303,40,4307,4157,452,602
5000,mlp,20260912,CD8 + CTL-2,4049,33,1391,1186,379,584
5000,mlp,20260912,CD8 + CTL-3,3244,27,749,1212,643,180
5000,mlp,20260912,CD8 Tem-1,26714,40,14405,15316,4077,3166
5000,mlp,20260912,CD8 Tem-2,10548,40,6576,6395,781,962
5000,mlp,20260912,Cycling T,3667,40,2170,2214,244,200
5000,mlp,20260912,Erythrocyte,65,6,5,5,0,0
5000,mlp,20260912,GCB,3283,31,2069,2269,415,215
5000,mlp,20260912,Memory B-1,23722,40,21460,21741,1022,741
5000,mlp,20260912,Memory B-2,2130,33,1085,1098,247,234
5000,mlp,20260912,Naive T,17960,40,12012,13167,1812,657
5000,mlp,20260912,Plasma,2173,40,2018,2004,48,62
5000,mlp,20260912,Tcm,2121,36,36,37,21,20
5000,mlp,20260912,cDC2,7376,40,6517,6420,246,343
5000,mlp,20260912,pDC,2615,40,2272,2236,78,114
5000,mlp,20260912,platelet,1574,38,1351,1339,82,94
5000,mlp,20260913,Atypical Memory B,781,34,427,379,41,89
5000,mlp,20260913,CD14 Monocyte-1,29871,40,24705,24625,1913,1993
5000,mlp,20260913,CD14 Monocyte-2,3931,40,2180,2408,771,543
5000,mlp,20260913,CD14 Monocyte-3,2977,32,1776,1859,304,221
5000,mlp,20260913,CD16 Monocyte-1,14678,40,12741,12916,811,636
5000,mlp,20260913,CD16 Monocyte-2,5142,40,3499,3398,325,426
5000,mlp,20260913,CD16 NK,58507,40,40931,43009,6021,3943
5000,mlp,20260913,CD4 + Tcm-1,70653,40,48356,49845,7915,6426
5000,mlp,20260913,CD4 + Tcm-2,16861,39,10890,11715,1680,855
5000,mlp,20260913,CD4 Monocyte-4,1405,35,913,884,92,121
5000,mlp,20260913,CD56 NK,38442,40,29334,29889,2315,1760
5000,mlp,20260913,CD8 + CTL-1,7303,40,4305,4216,481,570
5000,mlp,20260913,CD8 + CTL-2,4049,33,1272,1478,518,312
5000,mlp,20260913,CD8 + CTL-3,3244,27,728,1462,843,109
5000,mlp,20260913,CD8 Tem-1,26714,40,15142,15715,3868,3295
5000,mlp,20260913,CD8 Tem-2,10548,40,6620,6506,643,757
5000,mlp,20260913,Cycling T,3667,40,2239,2159,201,281
5000,mlp,20260913,Erythrocyte,65,6,6,5,0,1
5000,mlp,20260913,GCB,3283,31,2110,2191,356,275
5000,mlp,20260913,Memory B-1,23722,40,21203,21559,1143,787
5000,mlp,20260913,Memory B-2,2130,33,1094,1326,355,123
5000,mlp,20260913,Naive T,17960,40,12779,12332,900,1347
