permutation,seed,patient_accuracy,patient_macro_f1
450,42,0.1,0.09318488529014846
451,42,0.1,0.08385854341736694
452,42,0.125,0.12254901960784315
453,42,0.15,0.13876863876863876
454,42,0.125,0.1310897435897436
455,42,0.15,0.12763157894736843
456,42,0.125,0.09464285714285714
457,42,0.075,0.06666666666666667
458,42,0.1,0.09914529914529914
459,42,0.125,0.136002886002886
460,42,0.15,0.14074074074074075
461,42,0.075,0.05615942028985507
462,42,0.05,0.04738562091503268
463,42,0.3,0.3027740290898186
464,42,0.125,0.1279761904761905
465,42,0.1,0.09752992105933282
466,42,0.175,0.1754800754800755
467,42,0.15,0.1610219845513963
468,42,0.15,0.12566137566137564
469,42,0.125,0.11133107088989443
470,42,0.125,0.09230769230769231
471,42,0.175,0.14310776942355888
472,42,0.125,0.10889355742296919
473,42,0.1,0.09263448969331323
474,42,0.05,0.04524886877828055
475,42,0.1,0.08400673400673402
476,42,0.15,0.11669389978213507
477,42,0.2,0.159688995215311
478,42,0.025,0.017543859649122806
479,42,0.075,0.0849002849002849
480,42,0.1,0.10000000000000002
481,42,0.075,0.06527777777777778
482,42,0.075,0.06845238095238095
483,42,0.25,0.2608946608946609
484,42,0.2,0.21151996151996152
485,42,0.075,0.06539074960127592
486,42,0.15,0.13624338624338622
487,42,0.15,0.13071895424836602
488,42,0.1,0.08585858585858586
489,42,0.15,0.14447167755991283
490,42,0.05,0.0434173669467787
491,42,0.125,0.12271062271062272
492,42,0.175,0.15064102564102563
493,42,0.175,0.15571095571095572
494,42,0.1,0.09745809745809746
495,42,0.225,0.20487682252388137
496,42,0.25,0.23248556998557002
497,42,0.2,0.20191409897292248
498,42,0.2,0.20079365079365077
499,42,0.15,0.15445665445665444
500,42,0.075,0.06794871794871794
501,42,0.1,0.11616161616161617
502,42,0.025,0.027777777777777776
503,42,0.15,0.13928571428571426
504,42,0.0,0.0
505,42,0.175,0.1636955636955637
506,42,0.175,0.15426512485336016
507,42,0.1,0.1178030303030303
508,42,0.125,0.10231481481481482
509,42,0.275,0.22233468286099867
510,42,0.1,0.09230769230769231
511,42,0.075,0.06796906796906797
512,42,0.175,0.13015873015873017
513,42,0.125,0.1240079365079365
514,42,0.3,0.29493284493284494
515,42,0.175,0.14027777777777775
516,42,0.2,0.19327485380116957
517,42,0.075,0.07006911217437534
518,42,0.175,0.14496396849338025
519,42,0.15,0.16104497354497352
520,42,0.125,0.1111111111111111
521,42,0.075,0.06984126984126984
522,42,0.15,0.13095238095238093
523,42,0.125,0.11607142857142856
524,42,0.175,0.1571225071225071
525,42,0.1,0.0863095238095238
526,42,0.175,0.14985380116959066
527,42,0.125,0.110105580693816
528,42,0.175,0.14537037037037037
529,42,0.025,0.027777777777777776
530,42,0.15,0.15099715099715103
531,42,0.3,0.2989417989417989
532,42,0.075,0.06944444444444443
533,42,0.1,0.07222222222222223
534,42,0.15,0.1444962444962445
535,42,0.15,0.126131221719457
536,42,0.025,0.023809523809523808
537,42,0.275,0.24860787360787362
538,42,0.225,0.21216931216931215
539,42,0.05,0.04882154882154882
540,42,0.175,0.16527777777777777
541,42,0.275,0.24090909090909093
542,42,0.1,0.08888888888888889
543,42,0.175,0.1737012987012987
544,42,0.2,0.1959529505582137
545,42,0.175,0.16452991452991453
546,42,0.15,0.12934472934472935
547,42,0.1,0.0925925925925926
548,42,0.125,0.12675070028011204
549,42,0.125,0.12136752136752138
550,42,0.05,0.04305555555555555
551,42,0.125,0.12350427350427351
552,42,0.125,0.11325863678804854
553,42,0.075,0.0811965811965812
554,42,0.175,0.17826617826617827
555,42,0.125,0.09477124183006536
556,42,0.1,0.0998217468805704
557,42,0.2,0.1650326797385621
558,42,0.05,0.04786324786324786
559,42,0.125,0.12413726624252941
560,42,0.125,0.12675070028011204
561,42,0.2,0.18452380952380953
562,42,0.175,0.15946969696969696
563,42,0.2,0.20297619047619045
564,42,0.125,0.13214285714285715
565,42,0.1,0.07407407407407407
566,42,0.225,0.21556776556776555
567,42,0.05,0.04183006535947712
568,42,0.125,0.0892156862745098
569,42,0.1,0.07564102564102564
570,42,0.05,0.05416666666666667
571,42,0.15,0.15289739500265817
572,42,0.25,0.22425722425722427
573,42,0.0,0.0
574,42,0.2,0.14860681114551083
575,42,0.1,0.10596440596440597
576,42,0.125,0.12156593406593408
